"Animat","Day","Location x:","Location y:"
"Day: 0"
"Day: 1"
"Day: 2"
"Day: 3"
"Day: 4"
"Day: 5"
"Day: 6"
"Day: 7"
"Day: 8"
"Day: 9"
"Day: 10"
"Day: 11"
"Day: 12"
"Day: 13"
"Day: 14"
"Day: 15"
"Day: 16"
"Day: 17"
"Day: 18"
"Day: 19"
"Day: 20"
"Day: 21"
"Day: 22"
"Day: 23"
"Day: 24"
"Day: 25"
"Day: 26"
"Day: 27"
"Day: 28"
"Animat: 50","Action:back"
"Day: 29"
"Day: 30"
"Animat: 19","Action:back"
"Day: 31"
"Day: 32"
"Day: 33"
"Day: 34"
"Day: 35"
"Day: 36"
"Day: 37"
"Day: 38"
"Animat: 43","Action:back"
"Day: 39"
"Day: 40"
"Animat: 45","Action:back"
"Animat: 54","Action:back"
"Day: 41"
"Day: 42"
"Animat: 48","Action:back"
"Day: 43"
"Day: 44"
"Day: 45"
"Animat: 36","Action:back"
"Day: 46"
"Day: 47"
"Day: 48"
"Day: 49"
"Animat: 53","Action:back"
"Day: 50"
"59"
